종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
060310,3S,"2,010","10","0.50","2,010","2,005","209,251","425,822,550","2,020","2,085","1,990","500",원(KRW),"43,210,972","86,854,053,720",2312
095570,AJ네트웍스,"7,430","-30","0.40","7,430","7,420","26,308","196,518,510","7,390","7,520","7,360","1,000",원(KRW),"46,822,295","347,889,651,850",
068400,AJ렌터카,"11,150","50","0.45","11,200","11,150","188,353","2,104,892,400","11,150","11,400","11,000","500",원(KRW),"22,146,300","246,931,245,000",
006840,AK홀딩스,"78,300","30","0.00","78,300","78,000","26,231","2,059,215,500","78,300","79,700","77,300","5,000",원(KRW),"13,247,561","1,037,284,026,300",
054620,APS홀딩스,"7,910","-70","0.88","7,910","7,900","141,205","1,124,006,070","7,940","8,080","7,890","500",원(KRW),"20,394,221","161,318,288,110",
265520,AP시스템,"30,000","350","1.18","30,000","29,950","208,942","6,303,309,500","29,900","30,750","29,650","500",원(KRW),"13,899,212","416,976,360,000",
211270,AP위성,"8,870","-70","0.78","8,870","8,830","35,571","316,200,980","8,880","9,100","8,800","500",원(KRW),"15,014,804","133,181,311,480",
027410,BGF,"12,250","150","1.24","12,300","12,250","435,413","5,372,232,500","12,200","12,550","12,050","1,000",원(KRW),"32,263,719","395,230,557,750",
282330,BGF리테일,"163,500","5,000","3.15","163,500","163,000","113,100","18,521,565,760","158,500","166,000","158,500","1,000",원(KRW),"17,283,906","2,825,918,631,000",
138930,BNK금융지주,"10,500","50","0.48","10,550","10,500","859,174","9,053,280,600","10,550","10,700","10,350","5,000",원(KRW),"325,935,246","3,422,320,083,000",
001460,BYC,"289,500","3,000","1.05","289,500","288,000","96","27,688,500","288,000","289,500","286,000","5,000",원(KRW),"624,615","180,826,042,500",
001465,BYC우,"146,500","-500","0.34","146,500","145,500","115","16,708,000","148,500","148,500","145,000","5,000",원(KRW),"215,385","31,553,902,500",
032040,C&S자산관리,"4,375","30","0.00","0","0","0","0","0","0","0","2,500",원(KRW),"7,348,534","32,149,836,250",
001040,CJ,"168,000","5,000","3.07","168,000","167,500","102,354","17,169,582,000","163,500","169,500","163,500","5,000",원(KRW),"29,176,998","4,901,735,664,000",
079160,CJ CGV,"67,800","900","1.35","67,800","67,700","110,445","7,510,637,800","67,100","68,800","67,000","500",원(KRW),"21,161,313","1,434,737,021,400",
130960,CJ E&M,"91,200","3,000","3.40","91,200","91,100","208,864","18,928,105,800","88,800","91,200","88,500","5,000",원(KRW),"38,732,089","3,532,366,516,800",
